Var1;Var2;Var3;Var4;Var5;Var6;Var7
54,64;53,03;62,49;65,72;51,02;64,6;66,33
54,86;54,22;62,09;65,66;52,25;65,03;68,49
53,82;52,58;62,11;65,47;50,4;63,73;65,4
53,66;52,26;62,85;64,86;49,45;64,93;65,63
53,75;52,71;62,36;65,04;50,08;65,98;66,12
53,22;52,5;60,72;65,7;51,81;62,58;67,88
55,47;52,88;62,93;65,1;50,83;63,47;67,35
51,43;51,17;62,3;63,97;48,85;64,85;65,27
53,17;53,26;61,37;65,33;50,97;64,54;66,91
54,77;53,4;61,74;65,67;52,7;65,12;68,19
53,94;53,48;63,02;65,83;49,7;64,48;66,85
52,5;52,64;60,31;65,76;52,18;64,72;69,13
55,29;53,54;63,06;63,73;51,58;65,75;67,35
53,69;52,66;62,01;65,44;51,01;64,7;66,86
53,41;54,15;60,97;63,84;52,5;65,85;68,08
53,42;53,23;59,89;65,67;51,39;65,09;67,54
54,81;52,98;61,86;65,38;50,06;65,29;66,28
54,36;52,33;62,48;63,12;50,58;64,72;66,36
57,13;54,4;64,15;64,05;51,93;64,78;67,95
55,18;54,05;62,09;64,55;52,44;65,45;69,17
53,98;52,6;61,27;64,17;51,17;65,65;66,72
55,01;53,43;62,76;66,13;51,39;64,98;67,5
54,91;53,15;64,22;65,42;50,09;63,97;65,97
54,92;54,02;62,97;66,38;52,07;64,21;67,64
54,68;53,68;63,21;64,97;51,65;64,91;67,5
55,23;53,15;63,45;63,8;49,83;65,76;65,5
52,99;52,71;60,13;65,49;51,6;64,35;67,63
53,28;52,2;61,94;66,37;50,15;64,27;66,77
55,03;53,11;61,6;63,93;52,5;65,81;67,55
52,67;50,33;59,77;62,99;51,39;64,39;66,88
55,31;53,17;62,87;66,26;52;62,95;67,84
54,8;54,01;62,35;64,53;51,61;65,17;67,94
55,77;54,84;61,02;64,53;52,44;64,53;68,64
54,34;53,61;61,63;64,98;50,38;65,62;65,58
54,68;54;64,18;65,21;50,42;64,71;66,83
54,78;54,22;62,32;65,2;50,52;64,78;66,41
54,26;53,63;61,91;63,59;50,91;65,59;67,66
53,84;54,32;61,64;65,02;52,25;65,01;68,17
54,34;53,21;62,9;66,94;50,65;63,7;66,99
54,66;53,38;58,76;65,36;54,01;63,12;70,12
56,23;54,33;64,58;65,76;51,01;64,58;66,8
52,99;52,28;62,22;64;50,71;65,58;66,61
55,92;53,86;62,72;65,12;51,1;65;68,44
54,11;53,74;61,92;64,5;52,95;65,79;68,49
53,94;52,55;62,07;65,19;51,7;64,51;67,41
54,19;52,69;62,99;63,83;50,59;64,18;66,48
53,73;53,36;62,81;65,99;49,31;63,91;65,61
52,66;51,63;60,84;64,01;50,32;66,58;67,53
55,26;53,94;61,25;63,8;52,69;66,61;68,36
53,38;51,89;60,13;63,2;52,77;65,52;67,88
53,68;52,51;61,28;64,62;51,89;65,79;67,01
54,52;52,79;62,86;64,27;51,22;64,9;67,81
54,94;53,78;61,74;63,49;51,73;65,85;67,62
53,93;52,42;62,86;66,29;49,99;64,45;66,14
53,39;52,41;63,21;66,49;48,13;64,66;64,97
54,21;52,39;61,32;64,56;52,5;64,44;68,19
52,68;51,54;60,24;64,44;50,17;64,44;66,42
54,97;52,86;61,9;63,87;51,66;66,08;67,39
54,55;51,94;62,93;64,37;50,55;65,81;66,51
53,33;52,37;60,85;65,69;50,78;64,31;67,29
54,97;53,64;63,35;65,68;51,31;64,74;66,64
54,37;52,77;62,88;64,29;50,6;65,73;66,55
53,01;52,39;61,2;64,46;49,76;66,56;65,63
53,88;52,52;61,05;65,9;51,12;63,68;66,68
